ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,提案人22,提案人23,提案人24,提案人25,提案人26,提案人27,提案人28,提案人29,提案人30,提案人31,提案人32,提案人33,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
96,1,族群待遇平等法草案,2005/3/25,2007/12/21,二讀,0,1,1,0,黃宗源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,王塗發,杜文卿,謝明源,黃昭輝,潘孟安,高建智,蔡其昌,徐國勇,郭榮宗,謝欣霓,魏明谷,曾燦燈,賴幸媛,郭林勇,羅志明,蔡英文,侯水盛,盧博基,陳憲中,何敏豪,廖本煙,陳銀河,黃偉哲,劉寬平,張花冠,黃政哲,黃適卓,李鎮楠,尹伶瑛,郭玟成,唐碧娥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃宗源等 32人,為落實憲法第七條精神、促進各族
群之實質平等、消除族群歧視、以達族群融合之目的,特擬
具「族群待遇平等法草案」。是否有當,請公決案。"
97,1,族群平等法草案,2005/3/25,2007/12/21,二讀,0,1,1,1,羅志明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院台灣團結聯盟立法院黨團,為保障各族群地位之實質平
等,促進多元文化之發展,貫徹憲法消除族群歧視、促進族
群平等、以達族群融合之精神,特擬具「族群平等法草案」
。是否有當?敬請公決。"
98,1,國民大會職權行使法草案,2005/3/25,2005/5/20,三讀,1,1,1,0,陳金德,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,彭添富,邱創進,李明憲,潘孟安,藍美津,王拓,陳瑩,郭榮宗,王淑慧,鄭朝明,陳朝龍,湯火聖,林樹山,蔡啟芳,陳啟昱,林淑芬,林濁水,林為洲,彭紹瑾,賴清德,沈發惠,黃淑英,郭俊銘,蕭美琴,鄭國忠,洪奇昌,李昆澤,王世勛,田秋堇,蔡其昌,盧天麟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員陳金德等 32人,針對憲法增修條文第一條第四項之
規定,國民大會於中華民國八十九年五月十九日職權調整之
後,應於兩年內修正國民大會組織法。因此有關國民大會相
關法令之建構便有急迫性。國民大會職權行使法雖然並非憲
法明定限期修正之法律案,但凡議事機關,皆必須先要有職
權行使法,方能使議事順利運行,因此為配合國民大會其他
法制之建立,爱提出「國民大會職權行使法」草案,是否允
當?敬請公決。"
99,1,典試法第十一條及第十二條條文修正草案,2005/3/25,2005/4/11,委員會審查,0,0,1,0,黃偉哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,李鎮楠,黃適卓,黃宗源,陳憲中,李明憲,蔡啟芳,魏明谷,羅志明,朱俊曉,陳秀惠,王塗發,湯火聖,杜文卿,許舒博,邱永仁,謝欣霓,曾華德,郭林勇,廖本煙,尹伶瑛,曾燦燈,伍錦霖,陳銀河,莊和子,蔡其昌,趙永清,吳秉叡,李昆澤,吳成典,林鴻池,吳志揚,賴幸媛,楊宗哲,田秋堇,莊碩漢,林進興,盧天靈,顏文章,顧崇廉,陳志彬,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃偉哲等 41人,有鑒於監察委員監試制度不合時宜
,另因適逢監委難產,以致國家考試在無監察委員監試下不
能進行。為避免日後發生類似爭議,影響國家考試進行及考
生權益與修正不合時宜之監試制度,並配合廢止監試法,爱
擬修正「典試法第十一條」及「典試法第十二條」條文,是
否有當?請公決。"
100,1,典試法第十二條條文修正草案,2005/3/25,2005/4/11,委員會審查,0,0,1,0,王昱婷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伍錦霖,朱俊曉,吳成典,吳志揚,吳敦義,李嘉進,沈智慧,周守訓,林建榮,林炳坤,林郁方,邱鏡淳,帥化民,需忠雄,徐耀昌,高思博,張慶忠,郭素春,陳根德,費鴻泰,黃志雄,黃昭順,黃健庭,黃敏惠,楊仁福,廖國棟,劉銓忠,蔡家福,蔡豪,鄭金玲,鍾紹和,呂學樟,黃義交,張昌財,盧秀燕,羅世雄,顧崇廉,劉盛良,廖本煙,曾永權,林正二,,,,,,,,,,,,,,,,,,,,,,,"本院委員王昱婷等 42人,針對第四屆監察委員未順利產生造
成國家考試延宕,影響全國考生權益甚重;究其因在於典試
法及監試法均規定國家考試需由監察委員列席、監試。然「
典試法」第十二條規定典試委員會開會時,應請監察委員列
席;此與監試法互為運用。現行「監試法」功能意義實甚微
,且監試法施行至今已與當初訂定之始意未符,有需予以廢
止;為因應「監試法」之廢止,爱擬提案「典試法第十二條
修正案」,將監察院對於考試院之典試工作的參與權限予以
修正保留,以保障國家考試應考人權益、永久杜絕典試法與
監試法可能產生之爭議、並符未來三權分立之修憲趨勢。是
否有當?敬請公決。"
101,1,菸酒稅法第二十二條條文修正草案,2005/3/25,2006/1/3,三讀,1,1,1,0,邱永仁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,楊仁福,王幸男,王淑慧,蘇起,邱鏡淳,侯水盛,田秋堇,邱創進,林岱樺,魏明谷,顧崇廉,鄭金玲,盧秀燕,郭榮宗,陳景峻,陳瑩,張慶惠,吳成典,何敏豪,杜文卿,唐碧娥,章仁香,蔡同榮,黃偉哲,黃淑英,湯火聖,曹來旺,陳重信,彭添富,鄭運鵬,羅志明,鄭朝明,郭正亮,吳秉叡,周守訓,林正二,林益世,藍美津,劉盛良,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員邱永仁等 40人,有鑑於吸煙者罹患癌症之機率均高
於不吸煙者,造成健保資源不斷浪費。每年平均用在治療吸
煙所導致的疾病費用,已經高達一百八十億元,佔健保總額
預算之一成二。根據國家衛生院的研究,到公元二○二○年
,我國每年因為抽煙而死亡的人數將高達六萬七千人,每天
會有四十八人死於菸害。易言之,吸煙不僅已經對整體國民
健康造成嚴重威脅,醫療支出也會對於總額預算造成沈重的
負擔。爱提案修正菸酒稅法第二十二條修正案,提高煙品健
康福利捐,以求減少健保總額制度之負擔,是否有當,敬請
公決。"
102,1,監試法草案,2005/3/25,2005/4/11,委員會審查,0,0,1,0,王昱婷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伍錦霖,朱俊曉,吳成典,吳志揚,吳清池,吳敦義,李嘉進,沈智慧,周守訓,林建榮,林炳坤,林郁方,林滄敏,邱鏡淳,帥化民,徐中雄,徐耀昌,張慶忠,郭素春,陳根德,曾永權,費鴻泰,黃志雄,黃昭順,黃健庭,黃敏惠,楊仁福,廖國棟,趙良燕,劉政鴻,蔡家福,蔡豪,鄭金玲,鍾紹和,呂學樟,張昌財,陳志彬,蔡正元,盧秀燕,羅世雄,顧崇廉,劉盛良,廖本煙,馮定國,林正二,,,,,,,,,,,,,,,,,,,"本院委員王昱婷等 46人,針對民國三十九年修正之「監試法 」,明訂國家考試需由監察委員監試;然因第四屆監察委員 難產造成國家考試延宕,影響全國考生權益甚重。顯現行「 監試法」功能意義實甚微,且監試法施行至今已與當初訂定 之始意未符,另法律意旨未符未來三權分立之憲政趨勢;此 外,監試工作可由典試長負責,並輔由科技攝錄技術行之。 爱擬提案廢止「監試法」此不合時宜之法令,以保障國家考 試應考人權益、永久杜絕監試法可能產生之爭議、並符未來 修憲趨勢。是否有當?敬請公決。"
103,1,公益彩券發行條例第六條、第八條及第十七條條文修正草案,2005/3/25,2007/3/2,三讀,1,1,1,0,李鎮楠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃偉哲,黃宗源,林益世,李俊毅,李昆澤,李鴻鈞,陳憲中,曹來旺,鄭金玲,劉政鴻,鄭運鵬,張碩文,蔡其昌,黃昭輝,莊碩漢,黃志雄,沈發惠,高建智,盧天麟,李永萍,潘孟安,顏文章,鍾紹和,賴幸媛,蔡錦隆,林國慶,陳景峻,王塗發,廖本煙,林岱樺,吳秉叡,帥化民,湯火聖,邱永仁,劉盛良,魏明谷,謝明源,楊宗哲,顧崇廉,蘇起,,,,,,,,,,,,,,,,,,,,,,,,"本院委員李鎮楠等 41人,為衡酌國外發行彩券管銷比例,建 議比照國外經驗,向下修正彩券管銷費用;另以為該發行條 例為能符合立法意旨,建議增列社福民間團體及社會公正人 士等,以不得低於三分之一的比例原則,納入「公益彩券監 理委員會」成員之一,並要求主管機關應定期以網路方式, 公告彩券盈餘的運用情況。為徹底監督彩券管理之責、健全 法制架構,以維持弱勢經銷商之工作權,重申該法保障弱勢 族群之相關權益。 提出「公益彩券發行條例第六條、第八 條及第十七條」條文修正草案。是否有當?敬請 公決。"
104,1,就業服務法第五十五條條文修正草案,2005/3/25,2007/5/4,三讀,1,1,1,0,李鎮楠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃宗源,林益世,鄭運鵬,張碩文,林正峰,黃偉哲,蔡其昌,黃昭輝,曹來旺,李鴻鈞,尹伶瑛,盧天麟,高思博,李永萍,賴幸媛,高建智,李昆澤,鍾紹和,陳景峻,林國慶,顏文章,廖本煙,蔡英文,郭正亮,郭玟成,吳秉叡,湯火聖,邱永仁,劉盛良,謝明源,楊宗哲,顧崇廉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員李鎮楠等 38人,為符合法律授權明確性原則,關於 人民之權利、義務者應以法律明訂之,擬建議增訂就業安定 費之收取方式,應顧及各行業別之特殊差異,以期符合使用 者付費之精神,使其負擔更趨公平;另為避免就業安定基金 淪為部會「私房錢」,或是挪為他用,故擬修法提升「就業 安定基金管理委員會」之法律位階,建議增列民間勞工團體 及雇主代表之比例原則;並要求主管機關定期上網公告,將 基金運用情形予以透明化,以落實監督管理之責。爱提出「 就業服務法第五十五條條文修正案」。是否有當,敬請公 決。"
105,1,總統副總統職務交接條例草案,2005/3/25,2006/12/27,委員會審查,0,0,1,1,陳杰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院國民黨黨團,有鑒於政黨輪替已逐漸成為我國民主政治 之常態,為維護總統、副總統當選人之安全並得以完成就職 前之準備,以確保國家之安定及有利政務之銜接,爱提出「 總統副總統職務交接條例草案」,是否有當?敬請公決。"
106,1,農民健康保險條例第十九條及第三十六條文修正草案,2005/3/25,2007/12/21,二讀,0,1,1,0,蔡勝佳,徐耀昌,鍾紹和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃昭順,劉銓忠,何智輝,徐少萍,鄭金玲,郭素春,楊瓊瓔,黃志雄,盧秀燕,柯淑敏,呂學樟,蔡正元,楊仁福,伍錦霖,孫大千,吳清池,陳志彬,謝國樑,林德福,吳敦義,趙良燕,王昱婷,林郁方,黃義交,林春德,邱毅,李永萍,李鴻鈞,陳朝容,馮定國,顧崇廉,沈智慧,白添枝,翁重鈞,李嘉進,蔡錦隆,蘇起,曹壽民,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員蔡勝佳、徐耀昌、鍾紹和等41人,為具體明確規範 農民權益之定義,特擬具「農民健康保險條例第十九條及第 三十六條」條文修正草案,是否有當?敬請公決。"
107,1,民用航空法第三十七條條文修正草案,2005/3/25,2005/1/8,三讀,1,1,1,0,陳根德,鄭金玲,吳志揚,李鎮楠,吳成典,林為洲,黃健庭,楊瓊瓔,張慶忠,張慶惠,,,,,,,,,,,,,,,,,,,,,,,,柯淑敏,陳秀惠,蔡正元,蔡家福,林建榮,徐耀昌,沈智慧,吳敦義,蔡錦隆,章仁香,李嘉進,孫大千,廖國棟,郭榮宗,蔡英文,伍錦霖,鍾紹和,黃義交,王幸男,林春德,曹壽民,蔡豪,林炳坤,徐少萍,楊仁福,邱鏡淳,謝國樑,郭素春,盧秀燕,黃志雄,林郁方,黃昭順,陳志彬,林滄敏,林益世,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員陳根德、鄭金玲、吳志揚、李鎮楠、吳成典、林為
洲、黃健庭、楊瓊環、張慶忠、張慶惠等46人,鑒於現行航
空噪音防制費之補助優先用於辦理航空噪音防制設施之結果
,不僅無法切合當地居民之實際需要,加以該等航空噪音防
制設施之辦理得以分期或分階段為之,其結果造成各機場航
空噪音防制區域內之噪音防制設施更新或施作頻繁,甚或發
生以施作噪音防制工程之名義申請後,將噪音防制設施移裝
他處又重複申請之弊端。為確保航空噪音防制費之補助真正
落實改善當地居民生活品質、回饋當地居民應有之福利,爱
擬具「民用航空法第三十七條」條文修正草案。是否有當,
敬請公決。"
108,1,公職人員選舉罷免法第二十條條文修正草案,2005/3/25,2005/3/25,交付審查,0,0,0,0,顧崇廉,沈智慧,盧秀燕,蔣孝嚴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,孔文吉,王昱婷,伍錦霖,何智輝,呂學樟,林炳坤,吳成典,吳志揚,吳清池,李慶安,李慶華,李敖,李復興,周守訓,林正二,林正峰,林德福,林益世,林郁方,林春德,邱鏡淳,帥化民,高思博,陳明真,孫大千,徐耀昌,曹壽民,郭素春,陳志彬,楊仁福,黃昭順,黃敏惠,黃義交,廖婉汝,趙良燕,鍾紹和,劉政鴻,蔡正元,蔡豪,鄭金玲,劉文雄,,,,,,,,,,,,,,,,,,,,,,,"本院委員顧崇廉、沈智慧、盧秀燕、蔣孝嚴等 45人,有鑑於 人民之選舉權為憲法保障之基本人權,中華民國憲法第十七 條及第一百三十條著有明文。我國舉辦民主選舉迄今,已逾 數十年,選舉事務歷經不斷革新,對各項選務作業之公平操 作,已有相當成熟程度。撈諸世界各國,無論是民主先進之 美、英、西德、日本等國均已採行缺席投票方式,即便連發 展中之國家,如馬來西亞,亦規定其軍人、警察等,可採用 通訊投票;甚至連若干低度發展之國家,如羅德西亞,亦已 在多年前實施通訊投票(參酌郎裕憲撰「通訊投票可行性之 研究」,中央選舉委員會印行),用以保障人民之參政權, 充分體現民主政治之精髓。準此,我國自民國七十餘年起就 公職人員選舉罷免法所研議建立「不在籍投票」研究案,當 年因園於外界環境及投票層面無法突破,致延宕迄今,實不 容再以相同於數十年前民主政治尚未步入正軌之理由,據以 推議。爱此,特擬定「公職人員選舉罷免法第二十條修正草 案」。是否有當?敬請公決。"
109,1,聘用人員人事條例草案,2005/3/25,2006/4/20,委員會審查,0,0,1,0,王昱婷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,何智輝,吳成典,吳英毅,吳清池,吳敦義,呂學樟,李嘉進,林正二,林建榮,林春德,林郁方,林益世,林滄敏,徐少萍,徐耀昌,曹壽民,郭素春,費鴻泰,黃志雄,黃昭順,黃德福,楊仁福,廖國棟,趙良燕,劉政鴻,蔡正元,蔡豪,鄭金玲,盧秀燕,賴士葆,鍾紹和,羅世雄,顧崇廉,羅明才,劉盛良,黃健庭,張慶忠,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員王昱婷等 38人,為增進政府機關用人彈性,進而提
供績效管理的有利環境,並解決現行學術、科技、文化等機
構進用專業人員之困難,特擬具政府機關聘用人員人事條例
草案,是否有當?敬請公決。"
110,1,退伍軍人福利法草案,2005/3/25,2005/5/11,委員會審查,0,0,1,0,鄭金玲,呂學樟,何智輝,鍾紹和,盧秀燕,馮定國,洪秀柱,沈智慧,劉盛良,楊瓊瓔,林建榮,,,,,,,,,,,,,,,,,,,,,,,柯淑敏,邱鏡淳,徐少萍,吳清池,蔡豪,陳根德,林春德,黃義交,王昱婷,吳敦義,陳志彬,徐耀昌,顧崇廉,劉政鴻,林郁方,邱毅,林德福,吳成典,伍錦霖,蔡家福,潘維剛,林正峰,黃志雄,謝國樑,蔡勝佳,郭素春,張顯耀,黃昭順,蘇起,翁重鈞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員鄭金玲、呂學樟、鍾紹和、何智輝、盧秀燕、馮定
國、洪秀柱、沈智慧、劉盛良、楊瓊櫻、林建榮等46人,鑑
於軍人一生為國奉獻,犧牲自我,國家應竭力維護退伍軍人
之尊嚴與福祉,方符合公平正義與社會期待,特擬具「退伍
軍人福利法」草案。是否有當?敬請公決。"
111,1,地方制度法第八十二條條文修正草案,2005/3/25,2005/10/17,委員會審查,0,0,1,0,吳清池,朱俊曉,沈智慧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,杜文卿,李紀珠,何智輝,曹來旺,孫大千,高建智,葉宜津,劉文雄,白添枝,林樹山,楊瓊瓔,廖本煙,薛凌,顧崇廉,趙良燕,費鴻泰,黃義交,曹壽民,廖國棟,蔡正元,林建榮,劉盛良,林正二,劉政鴻,李嘉進,蔡家福,黃昭順,謝國樑,蔡勝佳,林德福,呂學樟,徐耀昌,羅明才,王昱婷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員吳清池、朱俊曉、沈智慧等 37人,有鑑於部份地方 首長,在其地方首長任期尚未結束之時,即去職、辭職入閣 擔任閣員或轉換跑道改選其他公職,實有負於選民之付託, 不符合信賴保護原則,而其去職後所遺任期不足二年者,依 現行條文規定不再補選,由副手代理或由上級機關派員代理 ,代理人為首長所指派,未經民意檢驗,有違民主機制及選 舉之公平性,更甚至淪為執政黨政治酬庸及培植下屆首長的 工具,這對當初參選不幸落選者及下屆參選人極為不公,為 維護民主選舉之公平,特擬具「地方制度法第八十二條條文 修正草案」,將自願辭職、去職之地方首長所遺任期,不足 兩年者,由代理人代理至任期結束,改為由該屆參選人得票 數超過該選舉區總投票數百分之二十之次高票者,遞補至該 屆任期結束,是否有當?敬請公決。"
112,1,地方制度法第三十三條及第五十七條條文修正草案,2005/3/25,2005/10/17,委員會審查,0,0,1,1,高金素梅,林炳坤,陳秀惠,顏清標,李和順,張麗善,林春德,廖國棟,陳瑩,林正二,孔文吉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院無黨團結聯盟黨團,鑒於近幾年來山地原住民遷徙至都 會區人口數急濾攀升許多居住於都會區的山地原住民因受限 於制度上的不合時宜,導致山地原住民之權益受到相當的剝 奪,基於人民的權利義務、公平正義原則和原住民族族群融 合特提議修正地方制度法第三十三條及第五十七條修正。"
113,1,農業金融法刪除第五十九條條文草案,2005/3/25,2005/3/25,交付審查,0,0,0,1,陳杰,劉銓忠,劉政鴻,許舒博,翁重鈞,白添枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院國民黨黨團擬具「農業金融法第五十九條條文修正草案 」,請審議案。"
114,1,農漁會回復信用部財產及人員處理條例草案,2005/3/25,2005/3/25,交付審查,0,0,0,1,白添枝,翁重鈞,陳杰,丁守中,許舒博,劉銓忠,劉政鴻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院國民黨黨團擬具「農漁會回復信用部財產及人員處理條 例草案」,請審議案。"
115,1,農業發展條例第三十四條條文修正草案,2005/3/25,2005/3/25,交付審查,0,0,0,1,陳杰,劉銓忠,劉政鴻,翁重鈞,白添枝,許舒博,黃敏惠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院國民黨黨團,有鑒於現行農業發展條例第三十四條限制 農民團體為確保債權,實施抵押權而取得耕地之規定,不僅 造成拍賣之耕地之荒蕪,更嚴重損及農民團體之合法權益, 為配合農業金融法的實施;爱提案修正「農業發展條例第三 十四條」條文,以排除該條之限制,使農會健全金融得有確 切之保障。是否有當?敬請 公決。"
116,1,漁會法第二十六條及第四十九條之一條文修正草案,2005/3/25,2007/5/11,三讀,1,1,1,1,陳杰,劉銓忠,許舒博,劉政鴻,翁重鈞,白添枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院國民黨黨團,有鑒於漁會法第二十六條規定,對於漁會 總幹事限制任期之規定,有違企業組織對經營績效良好之「 專業經理人」之保障與尊重,以及第四十九條之一規定漁會 選任及聘、僱人員因涉嫌觸犯法律時,只需受有期徒刑以上 刑之二審判決,而未受緩刑宣告或得易科罰金者,即應解除 其職務,實有侵害人民之基本人權,導致農漁民組織幹部遭 致歧視不公平待遇,有違法律普遍公平性之原則,更違背憲 法第十五條對工作權之保障,爱提案修正「漁會法第二十六 條、第四十九條之一」條文,使漁會總幹事之任期有所保障 ,以及漁會選任及聘、僱人員之解職規定,得以比照民意代 表規定,取得一致公平性之待遇,以充分達到保障人權之法 治國目標,是否有當?敬請 公決。"
117,1,農會法第二十五條及第四十六條之一條文修正草案,2005/3/25,2007/5/11,三讀,1,1,1,1,陳杰,劉銓忠,劉政鴻,許舒博,翁重鈞,白添枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院國民黨黨團,有鑒於農會法第二十五條規定,對於農會 總幹事限制任期之規定,有違企業組織對經營績效良好之「 專業經理人」之保障與尊重,以及第四十六條之一規定農會 選任及聘、僱人員因涉嫌觸犯法律時,只需受有期徒刑以上 刑之二審判決,而未受緩刑宣告或得易科罰金者,即應解除 其職務,實有侵害人民之基本人權,導致農漁民組織幹部遭 致歧視不公平待遇,有違法律普遍公平性之原則,更達背憲 法第十五條對工作權之保障,爱提案修正「農會法第二十五 條、第四十六條之一」條文,使農會總幹事之任期有所保障 ,以及農會選任及聘、僱人員之解職規定,得以比照民意代 表規定,取得一致公平性之待遇,以充分達到保障人權之法 治國目標,是否有當?敬請 公決。"
118,1,槍砲彈藥刀械管制條例第六條之一條文修正草案,2005/3/25,2005/3/25,交付審查,0,0,0,0,李鎮楠,徐志明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃宗源,林益世,鄭運鵬,魏明谷,林正峰,黃偉哲,黃志雄,曹來旺,陳憲中,劉政鴻,王塗發,蔡其昌,黃昭輝,莊碩漢,潘孟安,沈發惠,高思博,林濁水,高建智,盧天麟,李昆澤,賴幸媛,陳景峻,林國慶,顏文章,郭正亮,陳朝龍,邱永仁,謝明源,陳明真,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員李鎮楠、徐志明等 32人,有鑑於運動用之槍砲彈藥 必須經重重審核方能使用,其違反相關管理規定者,所產生 之惡害,與違法持有黑槍犯罪者,情勢完全不同。故建議修 正該法六條之一,應依比例原則及罪刑相等原則,比照原住 民及自衛槍枝管理條例規定,同時基於尊重射擊運動發展為 國內體育界之既定政策,將原條文除罪化之用意,更加具體 明確,避免主管機關於舉報過程,發生法令詮釋不一致或執 法過當之現象, 擬具「槍砲彈藥刀械管制條例第六條之一 修正案』,是否有當,敬請公決。"
119,1,老年農民福利津貼暫行條例第四條條文修正草案,2005/3/25,2005/3/25,退回程序委員會,0,0,0,0,唐碧娥,林耘生,盧秀燕,鄭朝明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吳秉叡,尹伶瑛,陳憲中,趙良燕,林育生,林淑芬,林炳坤,林岱樺,曾燦燈,蔡啟芳,侯水盛,羅志明,陳朝龍,郭玟成,湯火聖,林正二,王幸男,謝明源,鄭金玲,王淑慧,陳志彬,郭正亮,蔡煌瑯,何敏豪,吳成典,黃志雄,陳秀惠,林為洲,徐少萍,邱永仁,羅明才,李鎮楠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員唐碧娥、林耘生、盧秀燕、鄭朝明等 36人,針對現 行法規規定已領取社會保險老年給付者,不得領取老農津貼 ,造成這類農漁民晚年生活無依,有達老農津貼設置美意。 經查這些人員係一次領取為數不高的老年給付,若因此喪失 每月請領老農津貼的資格,既不公平也不合理。因此本席特 擬具「老年農民福利津貼暫行條例第四條修正案」,刪除該 項規定,使這類老年農漁民亦能受到照顧,保障其晚年生活 ,且兼顧社會公平正義。是否有當?敬請公決。"
120,1,老年農民福利津貼暫行條例第四條條文修正草案,2005/3/25,2005/5/13,交付審查,0,0,0,0,李全教,盧秀燕,李顯榮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,張麗善,林建榮,黃昭順,邱鏡淳,楊瓊瓔,鍾紹和,蔡錦隆,翁重鈞,劉盛良,曾永權,侯彩鳳,羅明才,邱毅,伍錦霖,林益世,周守訓,吳光訓,謝國樑,劉銓忠,黃健庭,林炳坤,顏清標,柯俊雄,蔡家福,紀國棟,羅世雄,吳敦義,吳清池,劉政鴻,卓伯源,趙良燕,吳成典,林正二,何智輝,黃志雄,林春德,帥化民,鄭金玲,徐耀昌,孫大千,蔡勝佳,柯淑敏,呂學樟,陳志彬,楊仁福,李嘉進,,,,,,,,,,,,,,,,,,"本院委員李全教、盧秀燕、李顯榮等 49人,為現行農家平均 年收入偏低,且某些特定政黨認為榮民就養金之發放僅照顧 特定族群,致每逢選舉往往成為分裂族群的議題與藉口。因 此為平衡省籍照顧、增進族群融合、落實農漁民福利保障, 並作為國民年金通過前之過渡措施,本席等人特擬具「老年 農民福利津貼暫行條例第四條修正草案」,將現行老農津貼 提升為一萬元,以符合公平正義平等之原則;另外,針對受 領時不知自己未符合請領資格而領取老農津貼者,若其所受 之利益已不存在者,免負返還或償還價額之責任,以保障老 人權益。以上所提,是否有當,請公決案。"
121,1,原住民敬老福利生活津貼暫行條例第三條及第十條條文修正草案,2005/3/25,2005/5/13,交付審查,0,0,0,0,李全教,楊仁福,盧秀燕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,張麗善,翁重鈞,林建榮,林益世,蔡錦隆,曾永權,柯俊雄,劉盛良,林炳坤,黃昭順,侯彩鳳,黃義交,蔡家福,周守訓,邱鏡淳,羅明才,吳光訓,黃健庭,紀國棟,楊瓊瓔,邱毅,謝國樑,羅世雄,顏清標,鍾紹和,伍錦霖,劉銓忠,吳敦義,劉政鴻,趙良燕,吳成典,吳智雄,林春德,徐耀昌,柯淑敏,呂學樟,陳志彬,李嘉進,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員李全教、楊仁福、盧秀燕等 41人,為現行原住民平 均年收入偏低,且某些特定政黨認為榮民就養金之發放僅照 顧特定族群,致每逢選舉往往成為分裂族群的議題與藉口。 因此為平衡省籍照顧、增進族群融合、落實原住民福利保障 ,並作為國民年金通過前之過渡措施,本席等人特擬具「原 住民敬老福利津貼暫行條例部分條文修正草案」,將現行原 住民敬老津貼提升為一萬元,以符合公平正義平等之原則; 另外,針對受領時不知自己未符合請領資格而領取敬老津貼 者,若其所受之利益已不存在者,免負返還或償還價額之責 任,以保障原住民老人權益。以上所提,是否有當,請公決 案。"
